날짜,라움,마쥬,바네사브루노,산드로,솔리드옴므,시스템옴므,에르메네질도 제냐,엠포리오아르마니,질스튜어트,질스튜어트뉴욕,자딕앤볼테르,이자벨마랑,타임옴므,폴로랄프로렌
2018-03-26,16.62118,39.75776,44.0471,58.01139,30.1259,48.5710383,8.83716634,11.73344482,131.6387359,9.04302735,22.53821732,34.57327957,23.11267899,99.44476592
2018-04-02,14.77332,37.82373,44.65508,55.03374,28.38814,47.83858924,8.794104355,11.95363981,131.9307385,8.97602,27.22489155,39.43708701,22.55736228,102.6330375
2018-04-09,15.66374,38.82426,41.32797,51.57738,29.54186,45.40190214,8.286650635,14.51479722,139.0924124,9.234533397,29.79562444,36.09081393,20.74779674,95.40436437
2018-04-16,16.87969,44.83699,41.08861,53.03269,28.29718,45.91412798,8.535591261,13.68662349,134.7599815,9.416438728,29.70467178,34.42006344,22.74884009,97.94637752
2018-04-23,16.58289,40.40882,36.86629,51.38589,24.1754,41.88807244,9.85207378,13.97865434,125.1472759,8.885067334,22.93554578,31.63870778,20.90098463,105.0745232
2018-04-30,15.5297,39.99234,37.52692,49.56675,26.20517,43.02264984,9.114824368,13.8924739,129.7573648,8.870694498,22.08819788,35.77486566,19.69459819,116.0085185
2018-05-07,18.12915,45.92847,37.03384,60.81669,24.12274,42.09392285,8.430265883,15.74989965,130.1786381,9.804194704,21.57119932,41.25622503,18.11002825,113.2941673
2018-05-14,18.35415,41.92158,37.1631,60.47201,22.51424,38.06789555,8.458983285,15.20895641,116.0994305,8.660071731,22.88288303,34.02753534,18.12917321,119.0914826
2018-05-21,16.07065,40.60989,36.11948,51.07951,23.46689,38.8817247,8.722296731,14.25151202,114.5340074,9.148352852,28.14404716,37.3594356,18.62705505,138.0776005
2018-05-28,17.69352,40.24606,37.17746,54.54545,23.19881,35.42055769,10.01960608,15.00790636,112.1882728,8.727079081,20.48448298,33.91263736,16.53503079,147.1110611
2018-06-04,18.30628,39.2934,31.8828,54.47843,22.37541,39.12586498,10.5557772,15.14194914,114.2420048,8.985592478,19.96745619,31.49509236,17.65046457,144.3536163
2018-06-11,15.84566,40.62425,32.07908,57.79118,21.30786,38.2402282,10.01003361,14.4525903,115.635067,8.693561288,19.57012773,31.81104063,16.44407813,137.9579163
2018-06-18,17.88979,35.41098,32.05514,48.00134,20.46531,35.66469797,9.15791459,13.61961622,108.0377752,8.329750626,19.71374315,32.68230561,14.75898305,140.6674509
2018-06-25,14.20843,34.45832,29.0392,49.49494,18.72277,36.84716594,7.707389291,12.20738079,110.9579708,8.765368996,18.60791009,32.40464725,18.18183596,140.98341
2018-07-02,14.21322,73.66077,30.51366,61.83637,21.34137,38.31683618,7.822287137,14.05523408,110.9196809,8.492511,19.00043819,33.14666965,17.82756954,141.4142733
2018-07-09,14.65843,41.4668,32.07429,65.34539,20.21638,37.36416389,8.229215831,14.99353354,105.1558696,8.176562731,17.11906494,35.54029758,17.40152365,139.2217163
2018-07-16,13.91641,39.77212,31.72961,60.20393,23.31849,39.68118103,7.678671889,13.84461156,98.72664468,7.611673544,20.27863234,31.38976686,15.74034564,134.2813111
2018-07-23,12.34621,35.76523,31.03068,56.33587,22.51902,34.66419159,8.344085439,11.8387702,102.3936621,8.449420727,18.44034936,31.28444136,15.73077317,127.3159433
2018-07-30,12.78184,37.67054,27.19613,53.91833,23.14615,35.54502801,9.138769655,12.05896519,105.0170547,8.851549541,19.65630828,32.3376399,15.64462086,130.135602
2018-08-06,13.74407,37.72799,26.32485,55.13906,24.79774,40.41363009,7.807914317,14.34246457,112.250508,8.947302564,18.50735671,36.55995009,16.78397171,139.6382029
2018-08-13,13.63875,38.48436,33.89822,60.47201,27.5791,40.89713853,7.559001928,14.97916072,129.2020488,11.07761673,20.44619307,37.42167082,18.51692919,144.7748829
2018-08-20,15.92704,53.92311,29.6759,66.58049,31.39451,45.90455551,7.204735923,16.14245553,139.6908187,10.95314627,19.95788371,42.53441918,22.91160046,158.3705756
2018-08-27,16.63076,42.45296,28.52218,91.65589,33.77854,45.09072636,11.62334733,16.60204691,156.6901936,12.12121456,23.39033734,44.81792124,21.96852778,172.9333025
2018-09-03,17.93288,47.27368,30.9876,63.60285,37.64182,49.19336163,8.449410818,20.30255384,137.4408371,12.14035952,24.11318654,49.4471606,24.92224453,364.891
2018-09-10,17.25309,41.73488,30.77696,60.96031,42.63487,57.81513333,11.24036392,20.02966793,138.3839087,17.90897796,23.7876658,46.72801193,24.7068214,213.4474786
2018-09-17,12.76748,38.20192,29.28335,58.65287,39.30298,56.3454631,23.6392223,18.74193105,129.2930013,16.67387409,22.83979275,38.67591966,25.46798876,185.9640709
2018-09-24,14.12226,40.95935,30.911,69.35707,44.66465,61.88427909,18.09086208,20.62330209,153.942359,18.50735671,22.96906357,51.48172175,29.56582848,221.5522186
2018-10-01,19.75202,43.65455,31.68174,69.88845,46.31624,60.13692259,14.18450474,17.95201895,144.9280314,21.33183088,22.36108411,45.1099242,31.10253603,210.3022641
2018-10-08,19.51744,42.68753,29.59452,67.26028,47.19708,64.95286199,12.03982025,18.41638244,141.4620923,23.11745111,20.9919373,41.92643972,34.88922784,204.5863561
2018-10-15,20.21638,37.95777,27.244,63.31083,61.32892,57.02044912,11.26908133,16.81746978,123.2132421,21.03979969,18.74672515,41.9360122,32.7014788,171.497128
2018-10-22,17.02331,38.83862,26.26741,64.52678,51.25664,59.53854455,8.597826418,14.5339704,125.1616204,20.27863234,19.53183782,41.96472964,33.52008103,154.8759051
